Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand
43257689,0.0,0.0,0.0,0.0,0.0,1.0
43257761,0.0,0.0,0.0,0.0,0.0,1.0
43257768,0.0,0.0,0.0,0.0,0.0,1.0
43257780,0.0,0.0,0.0,0.0,0.0,1.0
43257804,0.0,0.0,0.0,0.0,0.0,1.0
43257820,0.0,0.0,0.0,0.0,0.0,1.0
43257824,0.0,0.0,0.0,0.0,0.0,1.0
43257848,0.0,0.0,0.0,1.0,0.0,0.0
43257886,0.0,0.0,0.0,0.0,0.0,1.0
43257877,0.0,0.0,0.0,1.0,-1.0,1.0
43257900,0.0,0.0,0.0,1.0,-1.0,1.0
43257926,0.0,0.0,0.0,0.0,0.0,1.0
43257915,0.0,0.0,0.0,0.0,0.0,1.0
43257956,0.0,0.0,0.0,2.0,-1.0,0.0
43257968,0.0,0.0,0.0,1.0,-1.0,1.0
43258025,0.0,0.0,0.0,0.0,0.0,1.0
43258049,0.0,0.0,0.0,0.0,0.0,1.0
43258060,0.0,0.0,0.0,0.0,0.0,1.0
43258155,0.0,0.0,0.0,3.0,-2.0,0.0
43258233,0.0,0.0,0.0,3.0,-3.0,1.0
43258275,0.0,0.0,0.0,0.0,0.0,1.0
43258444,0.0,0.0,0.0,2.0,-2.0,1.0
43258456,0.0,0.0,0.0,0.0,0.0,1.0
43258557,0.0,0.0,0.0,2.0,-2.0,1.0
43258554,0.0,0.0,0.0,0.0,0.0,1.0
43258636,0.0,0.0,0.0,0.0,0.0,1.0
43258662,0.0,0.0,0.0,0.0,0.0,1.0
43258646,0.0,0.0,0.0,0.0,0.0,1.0
43258673,0.0,0.0,0.0,0.0,0.0,1.0
43258675,0.0,0.0,0.0,0.0,0.0,1.0
43258707,0.0,0.0,0.0,0.0,0.0,1.0
43258820,0.0,0.0,0.0,0.0,0.0,1.0
43258837,0.0,0.0,0.0,2.0,-2.0,1.0
43258959,0.0,0.0,0.0,0.0,0.0,1.0
43258954,0.0,0.0,0.0,1.0,-1.0,1.0
43258957,0.0,0.0,0.0,1.0,-1.0,1.0
43258984,0.0,0.0,0.0,0.0,0.0,1.0
43259006,0.0,0.0,0.0,0.0,0.0,1.0
43259040,0.0,0.0,0.0,0.0,0.0,1.0
43259029,0.0,0.0,0.0,1.0,-1.0,1.0
43259043,0.0,0.0,0.0,0.0,0.0,1.0
43259290,0.0,0.0,0.0,1.0,-1.0,1.0
43259304,0.0,0.0,0.0,0.0,0.0,1.0
43259301,0.0,0.0,0.0,1.0,-1.0,1.0
43259397,0.0,0.0,0.0,0.0,0.0,1.0
43259562,0.0,0.0,0.0,0.0,0.0,1.0
43259582,0.0,0.0,0.0,0.0,0.0,1.0
43259709,0.0,0.0,0.0,0.0,0.0,1.0
43259764,0.0,0.0,0.0,0.0,0.0,1.0
43259810,0.0,0.0,0.0,1.0,-1.0,1.0
43259874,0.0,0.0,0.0,1.0,-1.0,1.0
43259902,0.0,0.0,0.0,0.0,0.0,1.0
43259946,0.0,0.0,0.0,0.0,0.0,1.0
