Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand, nGenMatchedLeptons
43259562,2,0,1,0,0,1,2
43259582,2,0,1,0,0,1,2
43259709,2,0,1,0,0,1,2
43259764,2,0,1,0,0,1,2
43259810,2,0,1,1,0,1,2
43259874,2,0,1,1,0,1,2
43259902,2,0,1,0,0,1,2
43259946,2,0,1,0,0,1,2
43260040,2,0,1,0,0,1,2
43260087,2,0,1,0,0,1,2
43260101,2,0,1,0,0,1,2
43260155,2,0,1,1,0,1,2
43260161,2,0,1,0,0,1,2
43260262,2,0,1,1,0,1,2
43260289,2,0,1,0,0,1,2
43260334,2,0,1,0,0,1,2
43260358,2,0,1,0,0,1,2
43260375,2,0,1,0,0,1,2
43260420,2,0,1,1,0,1,2
43260455,2,0,1,0,0,1,2
43260452,2,0,1,0,0,1,2
43260471,2,0,1,0,0,1,2
43260486,2,0,1,0,0,1,2
43260495,2,0,1,1,1,1,2
43260522,2,0,1,0,0,1,2
43260599,2,0,1,2,0,1,2
43260611,2,0,1,1,0,1,2
43260612,2,0,1,0,0,1,2
43260682,2,0,1,0,0,1,2
43260728,2,0,1,1,0,1,2
43260794,2,0,1,0,0,1,2
43260808,2,0,1,0,0,1,2
43260801,2,0,1,1,0,1,2
43260845,2,0,1,0,0,1,2
43260882,2,0,1,0,0,1,2
43260890,2,0,1,1,1,1,2
43260920,2,0,1,0,0,1,2
43260934,2,0,1,1,0,1,2
43260946,2,0,1,0,0,1,2
43260973,2,0,1,1,0,1,2
43260976,2,0,1,1,1,1,2
43261100,2,0,1,1,0,1,2
43261092,2,0,1,0,0,1,2
43261105,2,0,1,0,0,1,2
43261110,2,0,1,1,0,1,2
43261106,2,0,1,0,0,1,2
43261153,2,0,1,0,0,1,2
43261160,2,0,1,0,0,1,2
43261186,2,0,1,0,0,1,2
43261209,2,0,1,0,0,1,2
43261197,2,0,1,2,0,1,2
43261234,2,0,1,1,1,1,2
43261299,2,0,1,2,0,1,2
43261300,2,0,1,1,0,1,2
43261342,2,0,1,0,0,1,2
43261408,2,0,1,2,2,1,2
43261488,2,0,1,0,0,1,2
43261537,2,0,1,3,0,1,2
43261603,2,0,1,0,0,1,2
43261624,2,0,1,0,0,1,2
43261638,2,0,1,1,1,1,2
43261717,2,0,1,0,0,1,2
49208827,2,0,1,0,0,1,2
49208847,2,0,1,1,0,1,2
49208833,2,0,1,0,0,1,2
49208915,2,0,1,1,0,1,2
49208935,2,0,1,3,0,1,2
49208964,2,0,1,0,0,1,2
49209009,2,0,1,0,0,1,2
49209052,2,0,1,2,0,1,2
49209097,2,0,1,2,1,1,2
49209131,2,0,1,1,0,1,2
49209209,2,0,1,1,0,1,2
49209191,2,0,1,1,0,1,2
49209272,2,0,1,0,0,1,2
49209321,2,0,1,2,1,1,2
49209333,2,0,1,0,0,1,2
49209363,2,0,1,1,0,1,2
49209385,2,0,1,0,0,1,2
49209432,2,0,1,1,1,1,2
49209460,2,0,1,0,0,1,2
49209494,2,0,1,1,0,1,2
49209485,2,0,1,0,0,1,2
49209509,2,0,1,2,2,1,2
49209714,2,0,1,0,0,1,2
49209808,2,0,1,0,0,1,2
49209806,2,0,1,0,0,1,2
49209845,2,0,1,1,0,1,2
49209912,2,0,1,1,1,1,2
49210005,2,0,1,0,0,1,2
49210014,2,0,1,0,0,1,2
49210026,2,0,1,2,0,1,2
49210046,2,0,1,1,1,1,2
49210142,2,0,1,0,0,1,2
49210129,2,0,1,0,0,1,2
49210165,2,0,1,0,0,1,2
49210306,2,0,1,0,0,1,2
49210344,2,0,1,0,0,1,2
49210340,2,0,1,1,0,1,2
49210369,2,0,1,0,0,1,2
49210412,2,0,1,2,1,1,2
49210446,2,0,1,1,0,1,2
49210482,2,0,1,0,0,1,2
49210491,2,0,1,0,0,1,2
49210498,2,0,1,0,0,1,2
49210524,2,0,1,1,0,1,2
49210622,2,0,1,0,0,1,2
49210651,2,0,1,0,0,1,2
49210730,2,0,1,2,0,1,2
49210714,2,0,1,1,1,1,2
49210863,2,0,1,0,0,1,2
49210920,2,0,1,0,0,1,2
49210988,2,0,1,0,0,1,2
49211010,2,0,1,0,0,1,2
49211080,2,0,1,0,0,1,2
49211094,2,0,1,1,0,1,2
49211164,2,0,1,0,0,1,2
49211180,2,0,1,2,0,1,2
49211201,2,0,1,0,0,1,2
49211221,2,0,1,0,0,1,2
49211244,2,0,1,0,0,1,2
49211248,2,0,1,1,0,1,2
49211295,2,0,1,0,0,1,2
49211328,2,0,1,0,0,1,2
49211405,2,0,1,0,0,1,2
49211420,2,0,1,0,0,1,2
49211474,2,0,1,1,1,1,2
49211486,2,0,1,0,0,1,2
49211472,2,0,1,3,0,1,2
49211508,2,0,1,1,0,1,2
49211560,2,0,1,0,0,1,2
49211571,2,0,1,0,0,1,2
49211581,2,0,1,0,0,1,2
49211609,2,0,1,0,0,1,2
49211619,2,0,1,1,0,1,2
49211606,2,0,1,0,0,1,2
49211616,2,0,1,0,0,1,2
49211724,2,0,1,0,0,1,2
49211734,2,0,1,0,0,1,2
49211747,2,0,1,0,0,1,2
49211780,2,0,1,0,0,1,2
49211805,2,0,1,0,0,1,2
49211823,2,0,1,1,1,1,2
49211834,2,0,1,1,0,1,2
49211840,2,0,1,0,0,1,2
49211861,2,0,1,1,1,1,2
49211880,2,0,1,0,0,1,2
49211896,2,0,1,1,0,1,2
49212028,2,0,1,0,0,1,2
49212025,2,0,1,2,0,1,2
49212105,2,0,1,0,0,1,2
49212093,2,0,1,1,0,1,2
49212098,2,0,1,0,0,1,2
49212117,2,0,1,0,0,1,2
49212177,2,0,1,1,0,1,2
49212280,2,0,1,0,0,1,2
49212267,2,0,1,1,1,1,2
49212302,2,0,1,1,0,1,2
49212365,2,0,1,0,0,1,2
49212394,2,0,1,0,0,1,2
49212422,2,0,1,0,0,1,2
49212449,2,0,1,1,0,1,2
49212450,2,0,1,0,0,1,2
49212506,2,0,1,2,0,1,2
49212487,2,0,1,2,2,1,2
49212517,2,0,1,1,0,1,2
49212619,2,0,1,0,0,1,2
49212669,2,0,1,0,0,1,2
49212811,2,0,1,0,0,1,2
49212919,2,0,1,0,0,1,2
49212908,2,0,1,0,0,1,2
49212975,2,0,1,0,0,1,2
49213035,2,0,1,1,0,1,2
49213067,2,0,1,1,0,1,2
49213115,2,0,1,4,0,1,2
49213185,2,0,1,0,0,1,2
49213199,2,0,1,0,0,1,2
49213245,2,0,1,1,0,1,2
49213280,2,0,1,0,0,1,2
49213270,2,0,1,2,0,1,2
49213377,2,0,1,2,0,1,2
49213406,2,0,1,1,0,1,2
49213452,2,0,1,1,1,1,2
49213516,2,0,1,1,0,1,2
49213570,2,0,1,0,0,1,2
49213640,2,0,1,0,0,1,2
49213629,2,0,1,0,0,1,2
49213641,2,0,1,0,0,1,2
49213672,2,0,1,0,0,1,2
49213701,2,0,1,0,0,1,2
49213705,2,0,1,3,1,1,2
49213833,2,0,1,0,0,1,2
49213870,2,0,1,0,0,1,2
49213929,2,0,1,0,0,1,2
49213938,2,0,1,0,0,1,2
49213946,2,0,1,2,0,1,2
49214040,2,0,1,0,0,1,2
49214039,2,0,1,0,0,1,2
49214081,2,0,1,0,0,1,2
49214085,2,0,1,0,0,1,2
49214133,2,0,1,0,0,1,2
49214191,2,0,1,1,0,1,2
49214262,2,0,1,0,0,1,2
49214249,2,0,1,0,0,1,2
49214309,2,0,1,2,0,1,2
49214412,2,0,1,0,0,1,2
49214516,2,0,1,1,0,1,2
49214550,2,0,1,1,0,1,2
49214616,2,0,1,1,0,1,2
49214629,2,0,1,0,0,1,2
49214669,2,0,1,0,0,1,2
49214696,2,0,1,1,0,1,2
49214900,2,0,1,0,0,1,2
49214939,2,0,1,0,0,1,2
49214951,2,0,1,0,0,1,2
49214998,2,0,1,0,0,1,2
49215025,2,0,1,0,0,1,2
49215019,2,0,1,1,0,1,2
49215055,2,0,1,1,0,1,2
49215084,2,0,1,0,0,1,2
49215107,2,0,1,0,0,1,2
49215114,2,0,1,0,0,1,2
49215108,2,0,1,0,0,1,2
49215170,2,0,1,0,0,1,2
49215211,2,0,1,0,0,1,2
49215191,2,0,1,0,0,1,2
49215228,2,0,1,2,0,1,2
49215296,2,0,1,1,0,1,2
49215308,2,0,1,0,0,1,2
49215341,2,0,1,1,0,1,2
49215340,2,0,1,0,0,1,2
49215396,2,0,1,1,0,1,2
49215411,2,0,1,0,0,1,2
49215404,2,0,1,0,0,1,2
49215431,2,0,1,0,0,1,2
49215434,2,0,1,1,0,1,2
49215503,2,0,1,0,0,1,2
49215514,2,0,1,0,0,1,2
49215572,2,0,1,0,0,1,2
49215634,2,0,1,0,0,1,2
49215655,2,0,1,0,0,1,2
49215645,2,0,1,2,0,1,2
49215699,2,0,1,1,0,1,2
49215690,2,0,1,0,0,1,2
49215697,2,0,1,0,0,1,2
49215716,2,0,1,1,0,1,2
49215802,2,0,1,1,1,1,2
49215851,2,0,1,0,0,1,2
49215877,2,0,1,0,0,1,2
49215893,2,0,1,2,0,1,2
49215902,2,0,1,1,0,1,2
49215943,2,0,1,0,0,1,2
49216092,2,0,1,0,0,1,2
49216091,2,0,1,2,1,1,2
49216128,2,0,1,0,0,1,2
49216140,2,0,1,2,0,1,2
49216351,2,0,1,0,0,1,2
49216362,2,0,1,0,0,1,2
49216373,2,0,1,0,0,1,2
49216419,2,0,1,0,0,1,2
49216423,2,0,1,0,0,1,2
49216507,2,0,1,2,1,1,2
49216534,2,0,1,1,0,1,2
49216550,2,0,1,0,0,1,2
49216573,2,0,1,2,0,1,2
49216595,2,0,1,0,0,1,2
49216648,2,0,1,2,0,1,2
49216651,2,0,1,1,0,1,2
49216727,2,0,1,2,2,1,2
49216904,2,0,1,0,0,1,2
49216952,2,0,1,2,0,1,2
49216953,2,0,1,2,1,1,2
49216989,2,0,1,0,0,1,2
49217061,2,0,1,0,0,1,2
49217090,2,0,1,3,0,1,2
49217130,2,0,1,0,0,1,2
49217147,2,0,1,1,0,1,2
49217169,2,0,1,0,0,1,2
49217226,2,0,1,3,0,1,2
49217227,2,0,1,0,0,1,2
49217296,2,0,1,0,0,1,2
49217311,2,0,1,0,0,1,2
49217334,2,0,1,0,0,1,2
49217347,2,0,1,0,0,1,2
49217431,2,0,1,1,0,1,2
49217458,2,0,1,0,0,1,2
49217518,2,0,1,0,0,1,2
49217570,2,0,1,1,0,1,2
49217593,2,0,1,1,0,1,2
49217643,2,0,1,0,0,1,2
49217695,2,0,1,0,0,1,2
49217719,2,0,1,0,0,1,2
49217808,2,0,1,1,1,1,2
49217814,2,0,1,0,0,1,2
49217907,2,0,1,1,1,1,2
49217937,2,0,1,0,0,1,2
49217940,2,0,1,0,0,1,2
49217991,2,0,1,0,0,1,2
49218005,2,0,1,2,0,1,2
49218032,2,0,1,0,0,1,2
49218027,2,0,1,0,0,1,2
49218055,2,0,1,0,0,1,2
49218063,2,0,1,0,0,1,2
49218117,2,0,1,0,0,1,2
49218112,2,0,1,1,0,1,2
49218129,2,0,1,0,0,1,2
49218153,2,0,1,1,0,1,2
49218155,2,0,1,1,0,1,2
49218214,2,0,1,1,0,1,2
49218257,2,0,1,0,0,1,2
49218290,2,0,1,0,0,1,2
49218298,2,0,1,2,1,1,2
49218327,2,0,1,0,0,1,2
49218314,2,0,1,2,0,1,2
49218318,2,0,1,1,0,1,2
49218374,2,0,1,0,0,1,2
49218385,2,0,1,0,0,1,2
49218444,2,0,1,0,0,1,2
49218511,2,0,1,1,1,1,2
49218557,2,0,1,3,1,1,2
49218666,2,0,1,0,0,1,2
49218697,2,0,1,0,0,1,2
49218700,2,0,1,0,0,1,2
49218778,2,0,1,0,0,1,2
49218816,2,0,1,0,0,1,2
49218800,2,0,1,2,0,1,2
49218822,2,0,1,0,0,1,2
49218813,2,0,1,0,0,1,2
49218839,2,0,1,0,0,1,2
49218851,2,0,1,1,0,1,2
49218952,2,0,1,0,0,1,2
49218962,2,0,1,1,0,1,2
49218975,2,0,1,0,0,1,2
49218983,2,0,1,0,0,1,2
49219044,2,0,1,0,0,1,2
49219198,2,0,1,0,0,1,2
49219302,2,0,1,1,0,1,2
49219322,2,0,1,0,0,1,2
49219347,2,0,1,1,1,1,2
49219371,2,0,1,0,0,1,2
49219511,2,0,1,0,0,1,2
49219578,2,0,1,1,0,1,2
49219602,2,0,1,2,1,1,2
49219619,2,0,1,1,1,1,2
86075049,2,0,1,0,0,1,2
86075058,2,0,1,0,0,1,2
86075130,2,0,1,0,0,1,2
86075205,2,0,1,3,1,1,2
86075294,2,0,1,0,0,1,2
86075340,2,0,1,0,0,1,2
86075325,2,0,1,0,0,1,2
86075404,2,0,1,0,0,1,2
86075462,2,0,1,0,0,1,2
86075445,2,0,1,0,0,1,2
86075502,2,0,1,0,0,1,2
86075548,2,0,1,0,0,1,2
86075621,2,0,1,1,0,1,2
86075658,2,0,1,1,0,1,2
86075667,2,0,1,0,0,1,2
86075714,2,0,1,1,0,1,2
86075697,2,0,1,1,1,1,2
86075729,2,0,1,0,0,1,2
86075719,2,0,1,1,0,1,2
86075795,2,0,1,3,0,1,2
86075800,2,0,1,0,0,1,2
86075869,2,0,1,0,0,1,2
86075893,2,0,1,0,0,1,2
86075882,2,0,1,0,0,1,2
86076137,2,0,1,3,0,1,2
